user_id,smoother,amplitude,duration_min,peak_incoh_ratio,step_max,confidence
U000,trio_sgolay,25.0,25.0,0.7346938775510204,10.0,medium
U000,trio_sgolay,58.0,65.0,0.9821428571428571,16.0,low
U000,trio_sgolay,35.0,30.0,0.8611111111111112,22.0,low
U000,trio_sgolay,25.0,25.0,0.6136363636363636,11.0,low
U000,trio_sgolay,46.0,65.0,0.8653846153846154,15.0,low
U000,trio_sgolay,28.0,60.0,0.9387755102040817,13.0,low
U000,trio_sgolay,32.0,30.0,0.9814814814814815,14.0,low
U000,trio_sgolay,20.0,25.0,0.8135593220338984,11.0,low
U000,trio_sgolay,47.0,25.0,0.44285714285714284,23.0,low
U000,trio_sgolay,19.0,30.0,0.8571428571428571,11.0,low
U000,trio_sgolay,69.0,60.0,0.9523809523809523,57.0,medium
U000,trio_sgolay,42.0,60.0,0.9534883720930233,16.0,low
U000,trio_sgolay,28.0,50.0,0.9787234042553191,10.0,low
U000,trio_sgolay,16.0,25.0,0.9565217391304348,12.0,low
U000,ukf,37.0,40.0,0.7846153846153846,24.0,low
U000,ukf,44.0,60.0,0.6206896551724138,11.0,low
U000,ukf,41.0,25.0,0.782608695652174,16.0,low
U000,ukf,59.0,45.0,0.8604651162790697,24.0,low
U000,ukf,48.0,50.0,0.9629629629629629,23.0,medium
U000,ukf,17.0,25.0,0.7741935483870968,16.0,low
U000,ukf,42.0,55.0,0.963855421686747,26.0,medium
U000,ukf,47.0,50.0,0.9333333333333333,47.0,medium
U000,ukf,37.0,65.0,1.0,18.0,medium
U000,ukf,51.0,100.0,0.9655172413793104,20.0,low
U000,ukf,41.0,30.0,0.9896907216494846,16.0,low
U000,ukf,25.0,25.0,0.7346938775510204,10.0,medium
U000,ukf,58.0,65.0,0.9821428571428571,16.0,low
U000,ukf,21.0,25.0,0.6511627906976745,13.0,low
U000,ukf,35.0,30.0,0.8611111111111112,22.0,low
U000,ukf,25.0,25.0,0.6136363636363636,11.0,low
U000,ukf,33.0,45.0,0.975609756097561,11.0,low
U000,ukf,47.0,25.0,0.9777777777777777,17.0,low
U000,ukf,32.0,30.0,0.9814814814814815,14.0,low
U000,ukf,20.0,25.0,0.8135593220338984,11.0,low
U000,ukf,47.0,25.0,0.44285714285714284,23.0,low
U000,ukf,19.0,30.0,0.8571428571428571,11.0,low
U000,ukf,30.0,30.0,0.9655172413793104,11.0,low
U000,ukf,69.0,60.0,0.9523809523809523,57.0,medium
U000,ukf,42.0,60.0,0.9534883720930233,16.0,low
U000,ukf,16.0,25.0,0.9565217391304348,12.0,low
U000,ukf,27.0,45.0,1.0,16.0,low
U000,ukf,17.0,25.0,0.43478260869565216,8.0,low
U000,ukf,37.0,50.0,1.0,9.0,low
U002,aaps_average,35.0,30.0,0.9833333333333333,15.0,low
U002,aaps_average,44.0,35.0,0.8666666666666667,15.0,low
U002,aaps_average,29.0,45.0,0.9444444444444444,20.0,low
U002,aaps_average,22.0,35.0,0.9666666666666667,13.0,low
U002,aaps_average,22.0,40.0,1.0,11.0,medium
U002,aaps_average,24.0,25.0,0.7954545454545454,12.0,low
U002,aaps_average,24.0,45.0,0.9411764705882353,10.0,low
U002,aaps_average,39.0,80.0,0.9782608695652174,18.0,medium
U002,aaps_average,27.0,45.0,0.9642857142857143,13.0,medium
U002,aaps_average,19.0,40.0,0.7837837837837838,11.0,low
U002,aaps_average,24.0,30.0,0.95,8.0,medium
U002,aaps_average,32.0,50.0,0.896551724137931,11.0,low
U002,aaps_average,41.0,65.0,1.0,15.0,medium
U002,aaps_average,28.0,35.0,1.0,12.0,medium
U002,aaps_average,38.0,40.0,1.0,19.0,low
U002,aaps_average,37.0,80.0,0.9791666666666666,21.0,medium
U002,aaps_average,52.0,155.0,1.0,33.0,medium
U002,aaps_average,21.0,35.0,0.9523809523809523,17.0,medium
U002,aaps_average,44.0,65.0,1.0,14.0,high
U002,aaps_average,28.0,45.0,0.9821428571428571,16.0,medium
U002,aaps_average,32.0,35.0,1.0,16.0,medium
U002,aaps_average,54.0,80.0,1.0,20.0,medium
U002,aaps_average,38.0,40.0,0.8163265306122449,23.0,low
U002,aaps_average,33.0,50.0,0.9629629629629629,20.0,high
U002,aaps_average,52.0,90.0,0.9342105263157895,19.0,medium
U002,aaps_average,43.0,75.0,0.9545454545454546,22.0,high
U002,aaps_average,23.0,25.0,0.9811320754716981,23.0,low
U002,aaps_average,48.0,50.0,0.9811320754716981,26.0,medium
U002,aaps_average,18.0,30.0,0.96,11.0,medium
U002,aaps_average,56.0,50.0,0.9230769230769231,21.0,low
U002,aaps_average,35.0,45.0,0.8043478260869565,17.0,low
U002,aaps_average,20.0,55.0,0.8148148148148148,10.0,low
U002,aaps_average,41.0,45.0,1.0,23.0,high
U002,aaps_average,46.0,60.0,0.98,17.0,high
U002,aaps_average,60.0,240.0,1.0,47.0,high
U002,aaps_average,53.0,35.0,0.75,26.0,low
U002,aaps_average,41.0,30.0,0.9833333333333333,27.0,low
U002,aaps_average,33.0,30.0,0.8448275862068966,33.0,low
U002,aaps_average,45.0,30.0,0.6774193548387096,25.0,low
U002,aaps_average,20.0,30.0,0.9354838709677419,11.0,medium
U002,aaps_average,99.0,100.0,0.9454545454545454,28.0,medium
U002,aaps_average,66.0,145.0,0.9767441860465116,19.0,medium
U002,aaps_average,30.0,60.0,0.98,24.0,medium
U002,aaps_average,38.0,30.0,0.9642857142857143,15.0,medium
U002,aaps_average,36.0,100.0,1.0,18.0,medium
U002,aaps_average,56.0,145.0,0.9714285714285714,20.0,medium
U002,aaps_average,29.0,60.0,0.8958333333333334,17.0,low
U002,aaps_average,60.0,55.0,0.84,16.0,medium
U002,aaps_average,39.0,50.0,0.7755102040816326,16.0,low
U002,aaps_average,23.0,60.0,1.0,10.0,high
U002,aaps_average,25.0,55.0,1.0,13.0,medium
U002,aaps_average,19.0,25.0,1.0,9.0,high
U002,aaps_average,23.0,65.0,0.95,15.0,low
U002,aaps_average,26.0,25.0,0.967741935483871,16.0,low
U002,aaps_average,18.0,25.0,0.9545454545454546,9.0,low
U002,aaps_average,25.0,25.0,0.8823529411764706,10.0,low
U002,aaps_average,30.0,75.0,0.9583333333333334,14.0,medium
U002,aaps_average,86.0,115.0,1.0,53.0,high
U002,aaps_average,34.0,30.0,0.98,27.0,medium
U002,aaps_average,38.0,80.0,0.9629629629629629,21.0,medium
U002,aaps_average,66.0,110.0,0.9583333333333334,28.0,medium
U002,aaps_average,48.0,65.0,1.0,22.0,high
U002,aaps_average,33.0,45.0,0.9565217391304348,25.0,high
U002,aaps_average,33.0,75.0,0.9772727272727273,18.0,medium
U002,aaps_average,24.0,40.0,0.7777777777777778,24.0,medium
U002,aaps_average,44.0,25.0,0.47297297297297297,44.0,medium
U002,aaps_average,38.0,65.0,0.8809523809523809,23.0,medium
U002,aaps_average,46.0,45.0,0.9736842105263158,20.0,medium
U002,aaps_average,64.0,55.0,0.7435897435897436,18.0,medium
U002,aaps_average,27.0,30.0,0.6060606060606061,14.0,medium
U002,aaps_average,54.0,55.0,1.0,18.0,medium
U002,aaps_average,28.0,40.0,0.8888888888888888,23.0,low
U002,aaps_average,23.0,25.0,0.6666666666666666,21.0,low
U002,aaps_average,32.0,40.0,0.9,12.0,low
U002,aaps_average,48.0,55.0,0.8333333333333334,21.0,low
U002,aaps_average,46.0,75.0,0.88,46.0,medium
U002,aaps_average,49.0,110.0,0.9722222222222222,17.0,high
U002,aaps_average,62.0,200.0,0.975609756097561,47.0,high
U002,aaps_average,26.0,40.0,0.9743589743589743,16.0,medium
U002,aaps_average,28.0,85.0,0.9705882352941176,15.0,high
U002,aaps_average,33.0,30.0,0.5283018867924528,24.0,low
U002,aaps_average,18.0,40.0,0.972972972972973,14.0,medium
U002,aaps_average,78.0,110.0,1.0,49.0,high
U002,aaps_average,35.0,40.0,0.803030303030303,29.0,low
U002,aaps_average,25.0,40.0,0.5,24.0,low
U002,aaps_average,47.0,45.0,0.9047619047619048,35.0,medium
U002,aaps_average,93.0,95.0,0.9142857142857143,30.0,medium
U002,aaps_average,36.0,65.0,1.0,29.0,medium
U002,aaps_average,26.0,30.0,0.875,24.0,medium
U002,aaps_average,21.0,30.0,0.8888888888888888,14.0,medium
U002,aaps_average,25.0,45.0,0.8846153846153846,19.0,low
U002,aaps_average,27.0,35.0,0.9090909090909091,14.0,medium
U002,aaps_average,24.0,50.0,0.7948717948717948,16.0,low
U002,aaps_average,27.0,45.0,0.6666666666666666,22.0,low
U002,aaps_average,43.0,130.0,0.9811320754716981,21.0,high
U002,aaps_average,36.0,30.0,0.6666666666666666,14.0,medium
U002,aaps_average,26.0,30.0,0.92,13.0,medium
U002,aaps_average,39.0,100.0,0.9743589743589743,26.0,high
U002,aaps_average,51.0,185.0,0.9814814814814815,16.0,high
U002,aaps_average,25.0,50.0,1.0,12.0,high
U002,aaps_average,34.0,85.0,1.0,16.0,high
U002,aaps_average,47.0,25.0,0.9,36.0,medium
U002,aaps_average,52.0,55.0,1.0,13.0,high
U002,aaps_average,28.0,50.0,0.9333333333333333,17.0,low
U002,aaps_average,29.0,50.0,0.8627450980392157,11.0,low
U002,aaps_average,21.0,55.0,1.0,14.0,medium
U002,aaps_average,29.0,50.0,0.9629629629629629,21.0,low
U002,aaps_average,35.0,85.0,0.975,21.0,medium
